Product Name,Product Score,Cancer Concern,Allergies & Immunotoxicity,Developmental and Reproductive Toxicity,Use Restrictions,Other Concerns
WATER,1,LOW,LOW,LOW,LOW,
FRAGRANCE,8,LOW,HIGH,LOW,LOW,"Endocrine disruption (moderate), Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), and Irritation (skin, eyes, or lungs) (moderate)"
GLYCERIN,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
PHENOXYETHANOL,2,LOW,LOW,LOW,MODERATE,"Use restrictions (moderate), Non-reproductive organ system toxicity (moderate), Irritation (skin, eyes, or lungs) (high), and Occupational hazards (high)"
IRON OXIDES,3,LOW,LOW,LOW,LOW,"Enhanced skin absorption, Persistence and bioaccumulation (high), and Non-reproductive organ system toxicity (low)"
TITANIUM DIOXIDE,1,MODERATE,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate) and Occupational hazards (high)
TOCOPHEROL,1,LOW,LOW,LOW,LOW,Endocrine disruption (low) and Contamination concerns (high)
MICA,2,LOW,LOW,LOW,LOW,Persistence and bioaccumulation (high) and Non-reproductive organ system toxicity (low)
CITRIC ACID,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
TOCOPHERYL ACETATE,2,LOW,MODERATE,LOW,LOW,Contamination concerns (high)
DIMETHICONE,2,LOW,LOW,LOW,MODERATE,"Use restrictions (moderate), Persistence and bioaccumulation (high), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
"SILICA, AMORPHOUS",1,MODERATE,LOW,LOW,LOW,"Use restrictions (low), Persistence and bioaccumulation (high), Non-reproductive organ system toxicity (low), and Irritation (skin, eyes, or lungs) (low)"
ETHYLHEXYLGLYCERIN,2,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), and Irritation (skin, eyes, or lungs) (high)"
CAPRYLYL GLYCOL,1,LOW,LOW,LOW,LOW,
CAPRYLIC/ CAPRIC TRIGLYCERIDE,1,LOW,LOW,LOW,LOW,
BUTYROSPERMUM PARKII (SHEA) BUTTER,1,LOW,LOW,LOW,LOW,Use restrictions (low)
SODIUM CHLORIDE,1,LOW,LOW,LOW,LOW,
SODIUM BENZOATE,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate) and Non-reproductive organ system toxicity (low)
DISODIUM EDTA,1,LOW,LOW,LOW,LOW,Enhanced skin absorption
BUTYLENE GLYCOL,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (moderate)"
LINALOOL,3,LOW,HIGH,LOW,LOW,
LIMONENE,4,LOW,HIGH,LOW,MODERATE,"Use restrictions (moderate), Persistence and bioaccumulation (moderate), Ecotoxicology (low), and Irritation (skin, eyes, or lungs) (high)"
